index,Date,Year,Type,Country,Area,Location,Activity,Gender,Age,Fatal,Time,href formula,ISO_code
0,2021-09-10 00:00:00,2021,,EGYPT,,Sidi Abdel Rahmen ,Swimming,M,0,,,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.09.10-Mohamed.pdf,EG
1,2021-09-09 00:00:00,2021,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing and Other Board Sports,M,0,N,13:20:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.09.09-Neilsen.pdf,US
2,2021-09-05 00:00:00,2021,Unprovoked,AUSTRALIA,New South Wales,Emerald Beach,Surfing and Other Board Sports,M,31,Y,10:30:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.09.05-Thompson.pdf,AU
3,2021-09-03 00:00:00,2021,Unprovoked,British Overseas Territory,Turks and Caicos,,Other,M,0,N,,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.09.03.b-TurksCaicos.pdf,
4,2021-08-28 00:00:00,2021,Unprovoked,USA,Texas,"Galveston Island, Galveston County",Surfing and Other Board Sports,M,0,N,11:45:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.08.28.-Galveston.pdf,US
5,2021-09-03 00:00:00,2021,Unprovoked,USA,Louisiana,off Grand Isle,Fishing,M,64,N,14:00:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.09.03-fisheman.pdf,US
6,2021-08-21 00:00:00,2021,Unprovoked,USA,Florida,"Walton Beach Psrk, St. Lucie County",Surfing and Other Board Sports,M,41,N,06:40:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.08.21-Carr.pdf,US
7,2021-08-13 00:00:00,2021,Unprovoked,CANADA,Nova Scotia,Cape Breton Island,Swimming,F,21,N,,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.08.13-CapeBreton.pdf,CA
8,2021-08-07 00:00:00,2021,Provoked,AUSTRALIA,Queensland,North Stradbroke Island  ,Other,M,0,N,,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.08.07.c-Manning.pdf,AU
9,2021-08-07 00:00:00,2021,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing and Other Board Sports,M,35,N,10:00:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.08.07.b-NSB.pdf,US
10,,2021,Unprovoked,USA,Florida,"Key Largo, Monroe County",Snorkeling,M,15,N,07:51:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.08.07.a-Cruz.pdf,US
11,2021-08-03 00:00:00,2021,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",Other,M,0,N,11:46:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.08.03-HiltonHead.pdf,US
12,2021-08-02 00:00:00,2021,Unprovoked,USA,Maryland,"Ocean City, Worcester County",Swimming,F,12,N,15:00:00,http://sharkattackfile.net/spreadsheets/pdf_directory/2021.08.02-Prushinski.pdf,US
